epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,1107.54,1.98771,0.55174,0.00202,0.83524,0.72422,0.80924,0.35667,1.38783,0.50363,0.00146,0.00123607,0.00123607,0.00123607
130,1115.79,1.7754,0.55526,0.00165,0.80172,0.77922,0.82632,0.36464,1.36019,0.50983,0.00144,0.00122596,0.00122596,0.00122596
131,1124.11,1.92708,0.5394,0.00191,0.87957,0.75885,0.83178,0.35586,1.38131,0.5528,0.00146,0.00121583,0.00121583,0.00121583
132,1132.5,2.16025,0.62613,0.00218,0.87237,0.799,0.84026,0.33753,1.43491,0.5537,0.0015,0.00120568,0.00120568,0.00120568
133,1140.85,1.93283,0.58439,0.00189,0.90449,0.77922,0.84647,0.351,1.39591,0.52995,0.00147,0.00119551,0.00119551,0.00119551
134,1149.16,1.89799,0.49385,0.00185,0.91965,0.79221,0.852,0.36184,1.36709,0.53639,0.00145,0.00118531,0.00118531,0.00118531
135,1157.5,1.86783,0.56028,0.00188,0.9116,0.8036,0.84534,0.35743,1.38666,0.51702,0.00145,0.0011751,0.0011751,0.0011751
136,1165.88,2.028,0.50927,0.00191,0.92121,0.77922,0.83782,0.34932,1.39449,0.52129,0.00145,0.00116487,0.00116487,0.00116487
137,1174.2,2.02845,0.54267,0.00197,0.87113,0.80519,0.82488,0.34929,1.38691,0.50144,0.00147,0.00115462,0.00115462,0.00115462
138,1182.48,2.07059,0.50567,0.00201,0.89817,0.8019,0.84735,0.36015,1.37069,0.49982,0.00145,0.00114436,0.00114436,0.00114436
139,1190.81,1.94518,0.63158,0.00189,0.95569,0.76623,0.83925,0.36288,1.37089,0.52265,0.00144,0.00113408,0.00113408,0.00113408
140,1199.15,1.87174,0.48431,0.00181,0.96733,0.76899,0.81786,0.3286,1.44817,0.61189,0.00157,0.00112379,0.00112379,0.00112379
141,1207.49,1.91517,0.56527,0.00196,0.95081,0.75313,0.79966,0.34061,1.38854,0.59691,0.00148,0.00111348,0.00111348,0.00111348
142,1215.78,1.96164,0.56498,0.00191,0.94702,0.79221,0.8462,0.37797,1.36642,0.50532,0.00142,0.00110317,0.00110317,0.00110317
143,1224.11,1.86169,0.4791,0.00182,0.9345,0.77922,0.80802,0.37947,1.36633,0.50131,0.00143,0.00109284,0.00109284,0.00109284
144,1232.48,1.86896,0.41634,0.00177,0.91454,0.74026,0.78686,0.33645,1.44077,0.619,0.00155,0.00108251,0.00108251,0.00108251
145,1240.81,2.1002,0.72315,0.00208,0.95079,0.7527,0.82232,0.33815,1.4465,0.55934,0.00155,0.00107216,0.00107216,0.00107216
146,1249.14,1.8498,0.49403,0.00176,0.87696,0.77922,0.83184,0.34099,1.45065,0.53022,0.00151,0.00106181,0.00106181,0.00106181
147,1257.51,1.84848,0.59287,0.0018,0.89438,0.76989,0.83516,0.35049,1.43451,0.52028,0.0015,0.00105146,0.00105146,0.00105146
148,1265.86,1.87444,0.49257,0.00187,0.90902,0.77854,0.83549,0.36214,1.39864,0.48953,0.00148,0.0010411,0.0010411,0.0010411
149,1274.18,1.94048,0.5608,0.00188,0.89393,0.76612,0.8138,0.36611,1.41633,0.49129,0.00149,0.00103073,0.00103073,0.00103073
150,1282.51,1.94276,0.57252,0.00188,0.91039,0.75325,0.82032,0.35549,1.43343,0.52665,0.0015,0.00102037,0.00102037,0.00102037
