yolo_conf,svm_threshold,f2,recall,precision,f1
0.2,0.45,0.9281716417910447,0.9212962962962963,0.9567307692307693,0.9386792452830188
0.2,0.5,0.9252336448598131,0.9166666666666666,0.9611650485436893,0.9383886255924171
0.2,0.55,0.9022556390977443,0.8888888888888888,0.96,0.9230769230769231
0.2,0.6,0.9022556390977443,0.8888888888888888,0.96,0.9230769230769231
0.2,0.65,0.9000942507068803,0.8842592592592593,0.9695431472081218,0.9249394673123487
0.2,0.7,0.8901515151515151,0.8703703703703703,0.9791666666666666,0.9215686274509803
0.25,0.01,0.9499536607970342,0.9490740740740741,0.9534883720930233,0.951276102088167
0.25,0.05,0.9499536607970342,0.9490740740740741,0.9534883720930233,0.951276102088167
0.25,0.1,0.9499536607970342,0.9490740740740741,0.9534883720930233,0.951276102088167
0.25,0.15,0.950834879406308,0.9490740740740741,0.9579439252336449,0.9534883720930233
0.25,0.2,0.950834879406308,0.9490740740740741,0.9579439252336449,0.9534883720930233
0.25,0.25,0.947075208913649,0.9444444444444444,0.9577464788732394,0.951048951048951
0.25,0.3,0.9433085501858736,0.9398148148148148,0.9575471698113207,0.9485981308411215
0.25,0.35,0.9357541899441341,0.9305555555555556,0.9571428571428572,0.9436619718309859
0.25,0.4,0.9281716417910447,0.9212962962962963,0.9567307692307693,0.9386792452830188
0.25,0.45,0.9252336448598131,0.9166666666666666,0.9611650485436893,0.9383886255924171
0.25,0.5,0.921421889616464,0.9120370370370371,0.9609756097560975,0.9358669833729216
0.25,0.55,0.8984007525870179,0.8842592592592593,0.9597989949748744,0.9204819277108434
0.25,0.6,0.8984007525870179,0.8842592592592593,0.9597989949748744,0.9204819277108434
0.25,0.65,0.8962264150943396,0.8796296296296297,0.9693877551020408,0.9223300970873787
0.25,0.7,0.8862559241706162,0.8657407407407407,0.9790575916230366,0.918918918918919
0.3,0.01,0.947075208913649,0.9444444444444444,0.9577464788732394,0.951048951048951
0.3,0.05,0.947075208913649,0.9444444444444444,0.9577464788732394,0.951048951048951
0.3,0.1,0.947075208913649,0.9444444444444444,0.9577464788732394,0.951048951048951
0.3,0.15,0.9479553903345725,0.9444444444444444,0.9622641509433962,0.9532710280373832
0.3,0.2,0.9479553903345725,0.9444444444444444,0.9622641509433962,0.9532710280373832
0.3,0.25,0.9441860465116279,0.9398148148148148,0.9620853080568721,0.9508196721311475
0.3,0.3,0.9404096834264432,0.9351851851851852,0.9619047619047619,0.9483568075117371
0.3,0.35,0.9328358208955224,0.9259259259259259,0.9615384615384616,0.9433962264150944
0.3,0.4,0.9252336448598131,0.9166666666666666,0.9611650485436893,0.9383886255924171
0.3,0.45,0.9222846441947565,0.9120370370370371,0.9656862745098039,0.9380952380952381
0.3,0.5,0.9184629803186504,0.9074074074074074,0.9655172413793104,0.9355608591885441
0.3,0.55,0.8953817153628653,0.8796296296296297,0.9644670050761421,0.9200968523002422
0.3,0.6,0.8953817153628653,0.8796296296296297,0.9644670050761421,0.9200968523002422
0.3,0.65,0.8931947069943289,0.875,0.9742268041237113,0.9219512195121952
0.3,0.7,0.8831908831908832,0.8611111111111112,0.9841269841269841,0.9185185185185185
0.35,0.01,0.9395348837209302,0.9351851851851852,0.957345971563981,0.9461358313817331
0.35,0.05,0.9395348837209302,0.9351851851851852,0.957345971563981,0.9461358313817331
0.35,0.1,0.9395348837209302,0.9351851851851852,0.957345971563981,0.9461358313817331
0.35,0.15,0.9404096834264432,0.9351851851851852,0.9619047619047619,0.9483568075117371
